County,Name,RorD,Votes,Percentage
Adams,Donald J. Trump / Michael R. Pence,R,3881,66.7986
Asotin,Donald J. Trump / Michael R. Pence,R,7259,61.1903
Benton,Donald J. Trump / Michael R. Pence,R,60301,58.5902
Chelan,Donald J. Trump / Michael R. Pence,R,22476,52.6827
Clallam,Joseph R. Biden / Kamala D. Harris,D,24687,50.185
Clark,Joseph R. Biden / Kamala D. Harris,D,140095,50.9573
Columbia,Donald J. Trump / Michael R. Pence,R,1754,70.3006
Cowlitz,Donald J. Trump / Michael R. Pence,R,34408,57.103
Douglas,Donald J. Trump / Michael R. Pence,R,12908,60.7864
Ferry,Donald J. Trump / Michael R. Pence,R,2735,63.4571
Franklin,Donald J. Trump / Michael R. Pence,R,17849,55.7624
Garfield,Donald J. Trump / Michael R. Pence,R,1062,71.8539
Grant,Donald J. Trump / Michael R. Pence,R,24703,65.7975
Grays Harbor,Donald J. Trump / Michael R. Pence,R,19590,51.6274
Island,Joseph R. Biden / Kamala D. Harris,D,29171,54.191
Jefferson,Joseph R. Biden / Kamala D. Harris,D,17190,69.4069
King,Joseph R. Biden / Kamala D. Harris,D,906507,74.9697
Kitsap,Joseph R. Biden / Kamala D. Harris,D,90224,56.8946
Kittitas,Donald J. Trump / Michael R. Pence,R,14042,53.774
Klickitat,Donald J. Trump / Michael R. Pence,R,7223,53.3772
Lewis,Donald J. Trump / Michael R. Pence,R,29318,64.9059
Lincoln,Donald J. Trump / Michael R. Pence,R,5134,73.1965
Mason,Donald J. Trump / Michael R. Pence,R,18676,50.1329
Okanogan,Donald J. Trump / Michael R. Pence,R,11830,55.6444
Pacific,Donald J. Trump / Michael R. Pence,R,6930,49.4294
Pend Oreille,Donald J. Trump / Michael R. Pence,R,5655,66.8282
Pierce,Joseph R. Biden / Kamala D. Harris,D,249447,53.7629
San Juan,Joseph R. Biden / Kamala D. Harris,D,9606,73.9151
Skagit,Joseph R. Biden / Kamala D. Harris,D,38033,52.0857
Skamania,Donald J. Trump / Michael R. Pence,R,3783,53.2068
Snohomish,Joseph R. Biden / Kamala D. Harris,D,256600,58.5109
Spokane,Donald J. Trump / Michael R. Pence,R,148244,50.2841
Stevens,Donald J. Trump / Michael R. Pence,R,19592,69.7721
Thurston,Joseph R. Biden / Kamala D. Harris,D,96530,57.4672
Wahkiakum,Donald J. Trump / Michael R. Pence,R,1711,58.3362
Walla Walla,Donald J. Trump / Michael R. Pence,R,16344,52.467
Whatcom,Joseph R. Biden / Kamala D. Harris,D,83557,60.364
Whitman,Joseph R. Biden / Kamala D. Harris,D,11143,52.9082
Yakima,Donald J. Trump / Michael R. Pence,R,50531,52.5543