id,county
53001,Adams
53003,Asotin
53005,Benton
53007,Chelan
53009,Clallam
53011,Clark
53013,Columbia
53015,Cowlitz
53017,Douglas
53019,Ferry
53021,Franklin
53023,Garfield
53025,Grant
53027,Grays Harbor
53029,Island
53031,Jefferson
53033,King
53035,Kitsap
53037,Kittitas
53039,Klickitat
53041,Lewis
53043,Lincoln
53045,Mason
53047,Okanogan
53049,Pacific
53051,Pend Oreille
53053,Pierce
53055,San Juan
53057,Skagit
53059,Skamania
53061,Snohomish
53063,Spokane
53065,Stevens
53067,Thurston
53069,Wahkiakum
53071,Walla Walla
53073,Whatcom
53075,Whitman
53077,Yakima